### CMD: "C:\Program Files\MySQL\MySQL Server 8.0\bin\mysql.exe" -uroot -p123456 --batch --raw --default-character-set=utf8mb4 < raw/05-rowlevel-two-schemas.sql   (READ ONLY SELECT)
src	rows_cnt	min_id	max_id	min_created	max_created	active_cnt
analytics_metric.metric_snapshot	12	4	27	2026-09-10 20:38:54.036	2026-09-12 21:29:27.282	1
id	snapshot_id	runtime_profile_id	runtime_profile_version	business_time	pipeline_run_id	status	version	data_updated_at	published_at	source	created_at
4	S20260901_23	1	3	2026-09-01 00:00:00.000	23	ARCHIVED	1	2026-09-01 00:00:00.000	2026-09-10 20:38:54.103	spark-ads	2026-09-10 20:38:54.036
5	S20260901_24	1	3	2026-09-01 00:00:00.000	24	ARCHIVED	2	2026-09-01 00:00:00.000	2026-09-10 20:44:11.886	spark-ads	2026-09-10 20:44:11.835
14	S20260901_22	1	3	2026-09-01 00:00:00.000	22	ARCHIVED	3	2026-09-01 00:00:00.000	2026-09-11 09:50:54.425	spark-ads	2026-09-11 09:50:54.384
15	S20260901_25	1	3	2026-09-01 00:00:00.000	25	ARCHIVED	4	2026-09-01 00:00:00.000	2026-09-11 10:41:49.858	spark-ads	2026-09-11 10:41:49.814
16	S20260901_29	1	3	2026-09-01 00:00:00.000	29	ARCHIVED	5	2026-09-01 00:00:00.000	2026-09-11 11:02:25.364	spark-ads	2026-09-11 11:02:25.331
17	S20260901_30	1	3	2026-09-01 00:00:00.000	30	ARCHIVED	6	2026-09-01 00:00:00.000	2026-09-11 11:09:19.753	spark-ads	2026-09-11 11:09:19.733
22	S20260901_38	1	3	2026-09-01 00:00:00.000	38	FAILED	7	2026-09-01 00:00:00.000	NULL	spark-ads	2026-09-11 15:01:02.630
23	S20260901_39	1	3	2026-09-01 00:00:00.000	39	ARCHIVED	8	2026-09-01 00:00:00.000	2026-09-11 15:12:22.013	spark-ads	2026-09-11 15:12:21.981
ERROR 1054 (42S22) at line 10: Unknown column 'created_at' in 'field list'
24	S20260901_41	1	3	2026-09-01 00:00:00.000	41	ARCHIVED	9	2026-09-01 00:00:00.000	2026-09-12 09:31:13.388	spark-ads	2026-09-12 09:31:13.337
25	S20260901_42	1	3	2026-09-01 00:00:00.000	42	ARCHIVED	10	2026-09-01 00:00:00.000	2026-09-12 17:28:12.779	spark-ads	2026-09-12 17:28:12.666
26	S20260901_43	1	3	2026-09-01 00:00:00.000	43	ARCHIVED	11	2026-09-01 00:00:00.000	2026-09-12 17:39:51.953	spark-ads	2026-09-12 17:39:51.900
27	S20260901_47	1	3	2026-09-01 00:00:00.000	47	ACTIVE	12	2026-09-01 00:00:00.000	2026-09-12 21:29:27.321	spark-ads	2026-09-12 21:29:27.282
