id	snapshot_id	status	active_flag	version	definition_version	source	pipeline_run_id	published_at	created_at
4	S20260901_23	ARCHIVED	NULL	1	v2	spark-ads	23	2026-09-10 20:38:54.103	2026-09-10 20:38:54.036
5	S20260901_24	ARCHIVED	NULL	2	v2	spark-ads	24	2026-09-10 20:44:11.886	2026-09-10 20:44:11.835
14	S20260901_22	ARCHIVED	NULL	3	v2	spark-ads	22	2026-09-11 09:50:54.425	2026-09-11 09:50:54.384
15	S20260901_25	ARCHIVED	NULL	4	v2	spark-ads	25	2026-09-11 10:41:49.858	2026-09-11 10:41:49.814
16	S20260901_29	ARCHIVED	NULL	5	v2	spark-ads	29	2026-09-11 11:02:25.364	2026-09-11 11:02:25.331
17	S20260901_30	ARCHIVED	NULL	6	v2	spark-ads	30	2026-09-11 11:09:19.753	2026-09-11 11:09:19.733
22	S20260901_38	FAILED	NULL	7	v2	spark-ads	38	NULL	2026-09-11 15:01:02.630
23	S20260901_39	ARCHIVED	NULL	8	v2	spark-ads	39	2026-09-11 15:12:22.013	2026-09-11 15:12:21.981
24	S20260901_41	ARCHIVED	NULL	9	v2	spark-ads	41	2026-09-12 09:31:13.388	2026-09-12 09:31:13.337
25	S20260901_42	ARCHIVED	NULL	10	v2	spark-ads	42	2026-09-12 17:28:12.779	2026-09-12 17:28:12.666
26	S20260901_43	ARCHIVED	NULL	11	v2	spark-ads	43	2026-09-12 17:39:51.953	2026-09-12 17:39:51.900
27	S20260901_47	ACTIVE	1	12	v2	spark-ads	47	2026-09-12 21:29:27.321	2026-09-12 21:29:27.282
