### CMD (READ ONLY): mysqlbinlog -R per-file first/last event timestamp, to establish exact coverage bounds and gaps
### now_ts=2026-09-14 12:05:08
Log_name	File_size	Encrypted
LAPTOP-8F8T3J1B-bin.000113	157	No
LAPTOP-8F8T3J1B-bin.000114	1366	No
LAPTOP-8F8T3J1B-bin.000115	1206	No
LAPTOP-8F8T3J1B-bin.000116	1073744191	No
LAPTOP-8F8T3J1B-bin.000117	1073742775	No
LAPTOP-8F8T3J1B-bin.000118	1073744309	No
LAPTOP-8F8T3J1B-bin.000119	1073744109	No
LAPTOP-8F8T3J1B-bin.000120	1147237425	No
LAPTOP-8F8T3J1B-bin.000121	1134518178	No
LAPTOP-8F8T3J1B-bin.000122	1073742573	No
LAPTOP-8F8T3J1B-bin.000123	1073742359	No
LAPTOP-8F8T3J1B-bin.000124	1073743211	No
LAPTOP-8F8T3J1B-bin.000125	487659933	No
LAPTOP-8F8T3J1B-bin.000126	180	No
LAPTOP-8F8T3J1B-bin.000127	180	No
LAPTOP-8F8T3J1B-bin.000128	180	No
LAPTOP-8F8T3J1B-bin.000129	63704239	No
LAPTOP-8F8T3J1B-bin.000130	150285009	No
LAPTOP-8F8T3J1B-bin.000131	47977792	No
LAPTOP-8F8T3J1B-bin.000132	180	No
LAPTOP-8F8T3J1B-bin.000133	157	No
LAPTOP-8F8T3J1B-bin.000134	157	No
file	size	first_event_ts	last_event_ts	gap_from_prev
LAPTOP-8F8T3J1B-bin.000113	157	260802 9:35:58	260802 9:35:58	prev_last=
LAPTOP-8F8T3J1B-bin.000114	1366	260815 8:01:20	260816 20:40:33	prev_last=260802 9:35:58
LAPTOP-8F8T3J1B-bin.000115	1206	260816 20:41:06	260905 8:58:51	prev_last=260816 20:40:33
LAPTOP-8F8T3J1B-bin.000116	1073744191	260905 8:59:35	260906 14:25:26	prev_last=260905 8:58:51
LAPTOP-8F8T3J1B-bin.000117	1073742775	260906 14:25:26	260906 15:52:18	prev_last=260906 14:25:26
LAPTOP-8F8T3J1B-bin.000118	1073744309	260906 15:52:18	260906 16:24:50	prev_last=260906 15:52:18
LAPTOP-8F8T3J1B-bin.000119	1073744109	260906 16:24:50	260906 16:42:16	prev_last=260906 16:24:50
LAPTOP-8F8T3J1B-bin.000120	1147237425	260906 16:42:16	260906 16:48:07	prev_last=260906 16:42:16
LAPTOP-8F8T3J1B-bin.000121	1134518178	260906 16:48:07	260906 17:46:27	prev_last=260906 16:48:07
LAPTOP-8F8T3J1B-bin.000122	1073742573	260906 17:46:27	260906 19:54:51	prev_last=260906 17:46:27
LAPTOP-8F8T3J1B-bin.000123	1073742359	260906 19:54:51	260906 21:09:26	prev_last=260906 19:54:51
LAPTOP-8F8T3J1B-bin.000124	1073743211	260906 21:09:26	260906 21:48:19	prev_last=260906 21:09:26
LAPTOP-8F8T3J1B-bin.000125	487659933	260906 21:48:19	260907 21:41:35	prev_last=260906 21:48:19
LAPTOP-8F8T3J1B-bin.000126	180	260907 21:42:17	260908 21:14:41	prev_last=260907 21:41:35
LAPTOP-8F8T3J1B-bin.000127	180	260908 21:15:20	260909 18:31:11	prev_last=260908 21:14:41
LAPTOP-8F8T3J1B-bin.000128	180	260909 18:31:55	260909 23:49:24	prev_last=260909 18:31:11
LAPTOP-8F8T3J1B-bin.000129	63704239	260909 23:50:12	260910 22:20:05	prev_last=260909 23:49:24
LAPTOP-8F8T3J1B-bin.000130	150285009	260911 8:05:34	260911 17:43:04	prev_last=260910 22:20:05
LAPTOP-8F8T3J1B-bin.000131	47977792	260911 18:40:32	260912 23:11:19	prev_last=260911 17:43:04
LAPTOP-8F8T3J1B-bin.000132	180	260913 10:18:55	260913 11:40:16	prev_last=260912 23:11:19
LAPTOP-8F8T3J1B-bin.000133	157	260913 11:41:00	260913 11:41:00	prev_last=260913 11:40:16
LAPTOP-8F8T3J1B-bin.000134	157	260913 20:23:19	260913 20:23:19	prev_last=260913 11:41:00
