line	event_id	event_type	err_no	json_path	validator	schema_path	message
1	golden-evt-001	user_registered	0	-	-	-	VALID
2	golden-evt-002	user_registered	0	-	-	-	VALID
3	golden-evt-003	user_registered	0	-	-	-	VALID
4	golden-evt-004	product_created	0	-	-	-	VALID
5	golden-evt-005	product_created	0	-	-	-	VALID
6	golden-evt-006	product_created	0	-	-	-	VALID
7	golden-evt-007	product_created	0	-	-	-	VALID
8	golden-evt-008	behavior	0	-	-	-	VALID
9	golden-evt-009	behavior	0	-	-	-	VALID
10	golden-evt-010	behavior	0	-	-	-	VALID
11	golden-evt-011	behavior	0	-	-	-	VALID
12	golden-evt-012	behavior	1	payload/channel	enum	allOf/3/then/properties/payload/properties/channel/enum	'web' is not one of ['app', 'pc', 'h5']
13	golden-evt-013	behavior	1	payload/channel	enum	allOf/3/then/properties/payload/properties/channel/enum	'web' is not one of ['app', 'pc', 'h5']
14	golden-evt-014	behavior	1	payload/channel	enum	allOf/3/then/properties/payload/properties/channel/enum	'web' is not one of ['app', 'pc', 'h5']
15	golden-evt-015	behavior	0	-	-	-	VALID
16	golden-evt-016	behavior	0	-	-	-	VALID
17	golden-evt-017	behavior	0	-	-	-	VALID
18	golden-evt-018	order_created	1	payload	required	allOf/4/then/properties/payload/required	'status' is a required property
18	golden-evt-018	order_created	2	payload	required	allOf/4/then/properties/payload/required	'created_at' is a required property
18	golden-evt-018	order_created	3	payload/items	type	allOf/4/then/properties/payload/properties/items/type	'[{"product_id":"2","quantity":2,"unit_price":"399.00","discount":"0.00","amount":"798.00"},{"product_id":"1","quantity":1,"unit_price":"299.00","discount":"0.0
19	golden-evt-019	order_paid	1	payload	required	allOf/5/then/properties/payload/required	'paid_at' is a required property
20	golden-evt-020	order_created	1	payload	required	allOf/4/then/properties/payload/required	'status' is a required property
20	golden-evt-020	order_created	2	payload	required	allOf/4/then/properties/payload/required	'created_at' is a required property
20	golden-evt-020	order_created	3	payload/items	type	allOf/4/then/properties/payload/properties/items/type	'[{"product_id":"1","quantity":1,"unit_price":"299.00","discount":"0.00","amount":"299.00"}]' is not of type 'array'
21	golden-evt-021	order_cancelled	1	payload	required	allOf/6/then/properties/payload/required	'cancelled_at' is a required property
22	golden-evt-022	order_created	1	payload	required	allOf/4/then/properties/payload/required	'status' is a required property
22	golden-evt-022	order_created	2	payload	required	allOf/4/then/properties/payload/required	'created_at' is a required property
22	golden-evt-022	order_created	3	payload/items	type	allOf/4/then/properties/payload/properties/items/type	'[{"product_id":"3","quantity":2,"unit_price":"89.00","discount":"0.00","amount":"178.00"}]' is not of type 'array'
23	golden-evt-023	order_paid	1	payload	required	allOf/5/then/properties/payload/required	'paid_at' is a required property
24	golden-evt-024	refund_created	1	payload	required	allOf/7/then/properties/payload/required	'created_at' is a required property
25	golden-evt-025	refund_completed	1	payload	required	allOf/8/then/properties/payload/required	'completed_at' is a required property
26	golden-evt-026	stock_reserved	0	-	-	-	VALID
27	golden-evt-027	stock_reserved	0	-	-	-	VALID
28	golden-evt-028	stock_reserved	0	-	-	-	VALID
29	golden-evt-029	stock_released	0	-	-	-	VALID
30	golden-evt-030	stock_reserved	0	-	-	-	VALID
31	golden-evt-031	user_registered	0	-	-	-	VALID
32	golden-evt-032	product_updated	0	-	-	-	VALID
33	golden-evt-033	behavior	0	-	-	-	VALID
34	golden-evt-034	behavior	1	payload/channel	enum	allOf/3/then/properties/payload/properties/channel/enum	'web' is not one of ['app', 'pc', 'h5']
35	golden-evt-035	behavior	1	payload/channel	enum	allOf/3/then/properties/payload/properties/channel/enum	'web' is not one of ['app', 'pc', 'h5']
36	golden-evt-036	behavior	1	payload/channel	enum	allOf/3/then/properties/payload/properties/channel/enum	'web' is not one of ['app', 'pc', 'h5']
37	golden-evt-008	behavior	0	-	-	-	VALID
38	golden-evt-038	behavior	1	payload/behavior_type	enum	allOf/3/then/properties/payload/properties/behavior_type/enum	'purchase' is not one of ['view', 'favorite', 'cart_add', 'cart_remove', 'search']
39	golden-evt-039	order_created	1	payload	required	allOf/4/then/properties/payload/required	'status' is a required property
39	golden-evt-039	order_created	2	payload	required	allOf/4/then/properties/payload/required	'created_at' is a required property
39	golden-evt-039	order_created	3	payload/items	type	allOf/4/then/properties/payload/properties/items/type	'[{"product_id":"2","quantity":1,"unit_price":"399.00","discount":"0.00","amount":"399.00"}]' is not of type 'array'
40	golden-evt-040	order_paid	1	payload	required	allOf/5/then/properties/payload/required	'paid_at' is a required property
41	golden-evt-041	refund_created	1	payload	required	allOf/7/then/properties/payload/required	'created_at' is a required property
42	golden-evt-042	refund_completed	1	payload	required	allOf/8/then/properties/payload/required	'completed_at' is a required property
43	golden-evt-043	order_created	1	payload	required	allOf/4/then/properties/payload/required	'status' is a required property
43	golden-evt-043	order_created	2	payload	required	allOf/4/then/properties/payload/required	'created_at' is a required property
43	golden-evt-043	order_created	3	payload/items	type	allOf/4/then/properties/payload/properties/items/type	'[{"product_id":"1","quantity":1,"unit_price":"279.00","discount":"0.00","amount":"279.00"}]' is not of type 'array'
44	golden-evt-044	order_paid	1	payload	required	allOf/5/then/properties/payload/required	'paid_at' is a required property
45	golden-evt-045	refund_created	1	payload	required	allOf/7/then/properties/payload/required	'created_at' is a required property
46	golden-evt-046	refund_completed	1	payload	required	allOf/8/then/properties/payload/required	'completed_at' is a required property
47	golden-evt-047	order_created	1	payload	required	allOf/4/then/properties/payload/required	'status' is a required property
47	golden-evt-047	order_created	2	payload	required	allOf/4/then/properties/payload/required	'created_at' is a required property
47	golden-evt-047	order_created	3	payload/items	type	allOf/4/then/properties/payload/properties/items/type	'[{"product_id":"3","quantity":1,"unit_price":"89.00","discount":"0.00","amount":"89.00"}]' is not of type 'array'
48	golden-evt-048	order_paid	1	payload	required	allOf/5/then/properties/payload/required	'paid_at' is a required property
49	golden-evt-049	stock_reserved	0	-	-	-	VALID
50	golden-evt-050	stock_reserved	0	-	-	-	VALID
51	golden-evt-051	stock_reserved	0	-	-	-	VALID
52	golden-evt-052	stock_changed	1	payload/change_type	enum	allOf/11/then/properties/payload/properties/change_type/enum	'restock' is not one of ['inbound', 'outbound', 'adjust']
53	-	-	1	<whole-line>	json-parse	-	Expecting value: line 1 column 1 (char 0)
54	golden-evt-054	user_registered	1	payload/age_group	enum	allOf/0/then/properties/payload/properties/age_group/enum	'45-54' is not one of ['under18', '18-24', '25-34', '35-44', '45+']
