fixture_line	event_id	partition
1	golden-evt-001	accepted
2	golden-evt-002	accepted
3	golden-evt-003	accepted
4	golden-evt-004	accepted
5	golden-evt-005	accepted
6	golden-evt-006	accepted
7	golden-evt-007	accepted
8	golden-evt-008	accepted
9	golden-evt-009	accepted
10	golden-evt-010	accepted
11	golden-evt-011	accepted
12	golden-evt-012	accepted
13	golden-evt-013	accepted
14	golden-evt-014	accepted
15	golden-evt-015	accepted
16	golden-evt-016	accepted
17	golden-evt-017	accepted
18	golden-evt-018	accepted
19	golden-evt-019	accepted
20	golden-evt-020	accepted
21	golden-evt-021	accepted
22	golden-evt-022	accepted
23	golden-evt-023	accepted
24	golden-evt-024	accepted
25	golden-evt-025	accepted
26	golden-evt-026	accepted
27	golden-evt-027	accepted
28	golden-evt-028	accepted
29	golden-evt-029	accepted
30	golden-evt-030	accepted
31	golden-evt-031	accepted
32	golden-evt-032	accepted
33	golden-evt-033	accepted
34	golden-evt-034	accepted
35	golden-evt-035	accepted
36	golden-evt-036	accepted
37	golden-evt-008	accepted
38	golden-evt-038	quarantine
39	golden-evt-039	accepted
40	golden-evt-040	accepted
41	golden-evt-041	accepted
42	golden-evt-042	accepted
43	golden-evt-043	accepted
44	golden-evt-044	accepted
45	golden-evt-045	accepted
46	golden-evt-046	accepted
47	golden-evt-047	accepted
48	golden-evt-048	accepted
49	golden-evt-049	accepted
50	golden-evt-050	accepted
51	golden-evt-051	accepted
52	golden-evt-052	accepted
53	<UNPARSEABLE>	quarantine
54	golden-evt-054	quarantine
55	<NO_EVENT_ID>	quarantine
