===== 8091 接口取证 tag=after-stop  at 2026-09-12 22:01:48 =====
POST /api/v1/auth/login => HTTP 200  (body 略：含 token)
GET /api/v1/health => HTTP 200 bytes=59 -> api-after-stop-health.json
GET /api/v1/dashboards/overview => HTTP 200 bytes=3336 -> api-after-stop-dashboards-overview.json
GET /api/v1/metrics/overview => HTTP 200 bytes=1408 -> api-after-stop-metrics-overview.json
GET /api/v1/metrics/snapshots?limit=15 => HTTP 200 bytes=4672 -> api-after-stop-metrics-snapshots.json
GET /api/v1/metrics/quality?limit=20 => HTTP 200 bytes=8716 -> api-after-stop-metrics-quality.json
GET /api/v1/pipeline-runs?limit=20 => HTTP 200 bytes=13901 -> api-after-stop-pipeline-runs.json
GET /api/v1/pipeline-runs/46 => HTTP 200 bytes=9041 -> api-after-stop-pipeline-run-46.json
GET /api/v1/pipeline-runs/45 => HTTP 200 bytes=9044 -> api-after-stop-pipeline-run-45.json
GET /api/v1/ingestion/status => HTTP 200 bytes=555 -> api-after-stop-ingestion-status.json
GET /api/v1/ingestion/batches?limit=5 => HTTP 200 bytes=1729 -> api-after-stop-ingestion-batches.json
