模拟商城（mall-simulator）
商城演示
商品后台
admin
退出登录
本页属模拟商城（事件来源系统，仅提供可重复测试数据）； 分析平台看板在 http://127.0.0.1:8091，两者数据库、账号与前端完全独立。
商品管理（admin）
新建商品
刷新
创建
ID	名称	分类	售价	成本	库存(可用/预留)	状态	操作
1001	磁吸手机支架	11	¥29.90	¥18.00	819/281	在售	改价调库存下架
1002	快充数据线套装	11	¥49.00	¥28.00	942/158	在售	改价调库存下架
1003	入耳式蓝牙耳机	12	¥149.00	¥85.00	967/133	在售	改价调库存下架
1004	桌面蓝牙音箱	12	¥199.00	¥110.00	466/101	在售	改价调库存下架
2001	不锈钢炒锅	21	¥159.00	¥95.00	488/64	在售	改价调库存下架
2002	真空保温杯	21	¥89.00	¥48.00	488/52	在售	改价调库存下架
2003	压缩收纳袋 10 只	22	¥39.90	¥22.00	488/90	在售	改价调库存下架
2004	免打孔置物架	22	¥59.00	¥32.00	489/41	在售	改价调库存下架
3001	纯棉圆领T恤	31	¥79.00	¥35.00	490/45	在售	改价调库存下架
3002	牛仔裤	31	¥129.00	¥68.00	493/37	在售	改价调库存下架
3003	雪纺连衣裙	32	¥169.00	¥90.00	499/23	在售	改价调库存下架
3004	针织开衫	32	¥139.00	¥75.00	489/27	在售	改价调库存下架
4001	混合坚果礼盒	41	¥99.00	¥55.00	500/29	在售	改价调库存下架
4002	冻干草莓脆	41	¥29.90	¥16.00	498/29	在售	改价调库存下架
4003	赣南脐橙 5kg	42	¥49.90	¥30.00	494/43	在售	改价调库存下架
4004	智利车厘子 2kg	42	¥159.00	¥98.00	499/3	在售	改价调库存下架
5001	烟酰胺精华液	51	¥119.00	¥45.00	497/17	在售	改价调库存下架
5002	氨基酸洁面乳	51	¥59.00	¥26.00	496/16	在售	改价调库存下架
5003	哑光唇釉	52	¥89.00	¥32.00	497/17	在售	改价调库存下架
5004	持妆粉底液	52	¥179.00	¥88.00	496/13	在售	改价调库存下架
6001	婴幼儿配方奶粉	61	¥268.00	¥160.00	500/0	在售	改价调库存下架
6002	儿童钙片	61	¥79.00	¥40.00	495/11	在售	改价调库存下架
6003	积木拼装套装	62	¥139.00	¥70.00	499/9	在售	改价调库存下架
6004	遥控小汽车	62	¥99.00	¥50.00	497/9	在售	改价调库存下架
7001	瑜伽垫加厚	71	¥69.00	¥32.00	493/14	在售	改价调库存下架
7002	哑铃组合套装	71	¥199.00	¥105.00	499/8	在售	改价调库存下架
7003	速干运动T恤	72	¥89.00	¥40.00	500/8	在售	改价调库存下架
7004	露营折叠椅	72	¥119.00	¥62.00	497/5	在售	改价调库存下架
8001	大数据之路	81	¥89.00	¥45.00	499/9	在售	改价调库存下架
8002	Spark快速大数据分析	81	¥79.00	¥38.00	500/8	在售	改价调库存下架
8003	钢笔礼盒	82	¥69.00	¥30.00	498/13	在售	改价调库存下架
8004	日程记事本	82	¥39.00	¥18.00	498/12	在售	改价调库存下架
2096441182850224000	健身器材 精选1	71	¥227.54	¥103.38	0/0	在售	改价调库存下架
2096441182913138700	耳机音箱 精选2	12	¥145.62	¥69.62	0/0	在售	改价调库存下架
2096441182976053200	户外装备 精选3	72	¥91.18	¥41.39	0/0	在售	改价调库存下架
2096441183038967800	男装 精选4	31	¥999.00	¥473.99	0/0	在售	改价调库存下架
2096441183038967800	水果生鲜 精选5	42	¥208.33	¥127.84	0/0	在售	改价调库存下架
2096441909920153600	健身器材 精选1	71	¥227.54	¥103.38	96/4	在售	改价调库存下架
2096441909920153600	耳机音箱 精选2	12	¥145.62	¥69.62	95/5	在售	改价调库存下架
2096441909920153600	户外装备 精选3	72	¥91.18	¥41.39	98/2	在售	改价调库存下架
2096441909987262500	男装 精选4	31	¥999.00	¥473.99	100/0	在售	改价调库存下架
2096441909987262500	水果生鲜 精选5	42	¥208.33	¥127.84	92/8	在售	改价调库存下架
2096569486857068500	冒烟新品2	1	¥99.90	¥40.00	91/9	在售	改价调库存下架
