# 来源：analytics_meta.data_quality_result 全表只读 SELECT（GROUP BY rule_code, severity）
# 实测：467 行 / 15 个不同 rule_code / 11 个 (rule_code,severity) 组合
# 更正：本文件旧名含「13 个未登记码」—— 该数字已被证伪，真实未登记码为 5 个，见 q01-migration-landing-record.md §0
# 命令：SELECT rule_code, severity, COUNT(*), SUM(passed=0), MIN(run_id), MAX(run_id), MIN(created_at), MAX(created_at) FROM analytics_meta.data_quality_result GROUP BY rule_code, severity ORDER BY rule_code, severity;
mysql: [Warning] Using a password on the command line interface can be insecure.
rule_code	severity	rows_cnt	failed_rows	min_run	max_run	first_seen	last_seen
ADS_DWS_FUNNEL_RECONCILE	BLOCKING	23	3	16	47	2026-09-10 18:48:36.779	2026-09-12 21:28:49.020
ADS_STAGING_KEY_NOT_NULL	BLOCKING	23	2	16	47	2026-09-10 18:48:36.773	2026-09-12 21:28:49.017
ADS_STAGING_PRESENT	BLOCKING	23	3	16	47	2026-09-10 18:48:36.769	2026-09-12 21:28:49.012
ADS_STAGING_SNAPSHOT_ISOLATION	BLOCKING	1	0	16	16	2026-09-10 18:48:36.771	2026-09-10 18:48:36.771
ADS_STAGING_SNAPSHOT_ISOLATION	ERROR	22	19	18	47	2026-09-10 19:40:45.123	2026-09-12 21:28:49.014
AMOUNT_RECONCILE	NULL	12	1	1	15	2026-09-07 17:31:43.171	2026-09-10 18:07:35.586
AMOUNT_RECONCILE	BLOCKING	26	3	16	47	2026-09-10 18:48:20.625	2026-09-12 21:28:32.900
AMOUNT_RECONCILE	INFO	1	0	16	16	2026-09-10 18:42:18.072	2026-09-10 18:42:18.072
ENUM_WHITELIST	NULL	12	0	1	15	2026-09-07 17:31:43.406	2026-09-10 18:07:35.586
ENUM_WHITELIST	ERROR	26	0	16	47	2026-09-10 18:48:20.626	2026-09-12 21:28:32.900
ENUM_WHITELIST	INFO	1	0	16	16	2026-09-10 18:42:18.072	2026-09-10 18:42:18.072
EVENT_ID_UNIQUE	NULL	12	3	1	15	2026-09-07 17:31:43.351	2026-09-10 18:07:35.586
EVENT_ID_UNIQUE	BLOCKING	1	1	16	16	2026-09-10 18:42:18.072	2026-09-10 18:42:18.072
EVENT_ID_UNIQUE	ERROR	26	19	16	47	2026-09-10 18:48:20.626	2026-09-12 21:28:32.900
MXP_EXPORT_COMPLETE	BLOCKING	14	0	21	47	2026-09-10 20:27:43.002	2026-09-12 21:29:27.266
MXP_EXPORT_ROWS	BLOCKING	112	0	21	47	2026-09-10 20:27:42.983	2026-09-12 21:29:27.264
MXP_SNAPSHOT_PINNED	BLOCKING	14	0	21	47	2026-09-10 20:27:42.980	2026-09-12 21:29:27.255
PUB_DQ_BLOCKING_RULES	BLOCKING	23	4	16	47	2026-09-10 18:48:36.776	2026-09-12 21:28:49.018
PUB_DQ_EVENT_ID_UNIQUE	ERROR	20	14	16	47	2026-09-10 18:48:36.777	2026-09-12 21:28:49.019
PUB_FORMAL_PARTITION_MATCH	BLOCKING	18	0	16	47	2026-09-10 18:48:58.930	2026-09-12 21:29:27.254
PUB_STAGING_READY	BLOCKING	18	0	16	47	2026-09-10 18:48:58.927	2026-09-12 21:29:27.253
REQUIRED_FIELD_NULL_RATE	NULL	12	0	1	15	2026-09-07 17:31:43.231	2026-09-10 18:07:35.586
REQUIRED_FIELD_NULL_RATE	ERROR	26	0	16	47	2026-09-10 18:48:20.625	2026-09-12 21:28:32.900
REQUIRED_FIELD_NULL_RATE	INFO	1	0	16	16	2026-09-10 18:42:18.072	2026-09-10 18:42:18.072
