batch_id	file	start_offset	end_offset	record_count	status
2	2026090509.jsonl	0	12089941	26027	LANDED
2	2026090510.jsonl	0	15268153	32847	LANDED
2	2026090511.jsonl	0	17000746	36576	LANDED
2	2026090512.jsonl	0	18234895	39227	LANDED
2	2026090513.jsonl	0	16127604	34698	LANDED
2	2026090514.jsonl	0	15258744	32826	LANDED
2	2026090515.jsonl	0	14216195	30581	LANDED
2	2026090516.jsonl	0	13184054	28366	LANDED
2	2026090517.jsonl	0	16761473	36058	LANDED
2	2026090518.jsonl	0	20344587	43763	LANDED
2	2026090519.jsonl	0	19363647	41654	LANDED
2	2026090520.jsonl	0	20103891	43249	LANDED
2	2026090521.jsonl	0	18125058	38988	LANDED
2	2026090522.jsonl	0	14209197	30570	LANDED
2	2026090523.jsonl	0	8062834	17347	LANDED
2	2026090600.jsonl	0	2946673	6338	LANDED
2	2026090601.jsonl	0	2072574	4459	LANDED
2	2026090602.jsonl	0	1668224	3590	LANDED
2	2026090603.jsonl	0	1144345	2462	LANDED
2	2026090604.jsonl	0	1005211	2161	LANDED
2	2026090605.jsonl	0	1026537	2209	LANDED
2	2026090606.jsonl	0	2065794	4443	LANDED
2	2026090607.jsonl	0	5094599	10959	LANDED
2	2026090608.jsonl	0	8996315	19357	LANDED
2	2026090609.jsonl	0	12092686	26016	LANDED
2	2026090610.jsonl	0	15080217	32444	LANDED
2	2026090611.jsonl	0	17291695	37197	LANDED
2	2026090612.jsonl	0	18502991	39803	LANDED
2	2026090613.jsonl	0	16147426	34735	LANDED
2	2026090614.jsonl	0	15692460	33759	LANDED
2	2026090615.jsonl	0	14275535	30706	LANDED
2	2026090616.jsonl	0	13227116	28457	LANDED
2	2026090617.jsonl	0	16168955	34788	LANDED
2	2026090620.jsonl	0	1846	4	LANDED
2	2026090621.jsonl	0	7041	16	LANDED
4	2026090621.jsonl	7041	8152	0	LANDED
5	2026090621.jsonl	8152	9053	1	LANDED
7	2026090700.jsonl	0	348746	997	LANDED
8	2026090701.jsonl	0	356940	1000	LANDED
9	2026090701.jsonl	356940	357988	3	LANDED
11	2026090701.jsonl	357988	358352	1	LANDED
13	2026090701.jsonl	358352	359305	2	LANDED
14	2026090701.jsonl	359305	359602	1	LANDED
15	2026090701.jsonl	359602	359896	1	LANDED
16	2026090703.jsonl	0	918	3	LANDED
17	golden-r615-20260910164859.jsonl	0	18139	51	LANDED
18	golden-r615b-20260910165249.jsonl	0	18430	51	LANDED
19	golden-r618-tampered-20260910.jsonl	0	18430	51	LANDED
20	golden-r619-clean-20260910.jsonl	0	18430	51	LANDED
21	golden-r70-clean-20260910.jsonl	0	18430	51	LANDED
22	golden-r73-clean-20260910.jsonl	0	18430	51	LANDED
23	golden-r73b-clean-20260910.jsonl	0	18430	51	LANDED
24	golden-r73c-clean-20260910.jsonl	0	18430	51	LANDED
25	golden-r73d-clean-20260910.jsonl	0	18430	51	LANDED
26	r9-qualityfail-103736.jsonl	0	18430	51	LANDED
27	r9-prunefix-105922.jsonl	0	18430	51	LANDED
28	r9-prunefix-110637.jsonl	0	18430	51	LANDED
29	2026090509.jsonl	0	12089941	26027	LANDED
29	2026090510.jsonl	0	15268153	32847	LANDED
29	2026090511.jsonl	0	17000746	36576	LANDED
29	2026090512.jsonl	0	18234895	39227	LANDED
29	2026090513.jsonl	0	16127604	34698	LANDED
29	2026090514.jsonl	0	15258744	32826	LANDED
29	2026090515.jsonl	0	14216195	30581	LANDED
29	2026090516.jsonl	0	13184054	28366	LANDED
29	2026090517.jsonl	0	16761473	36058	LANDED
29	2026090518.jsonl	0	20344587	43763	LANDED
29	2026090519.jsonl	0	19363647	41654	LANDED
29	2026090520.jsonl	0	20103891	43249	LANDED
29	2026090521.jsonl	0	18125058	38988	LANDED
29	2026090522.jsonl	0	14209197	30570	LANDED
29	2026090523.jsonl	0	8062834	17347	LANDED
29	2026090600.jsonl	0	2946673	6338	LANDED
29	2026090601.jsonl	0	2072574	4459	LANDED
29	2026090602.jsonl	0	1668224	3590	LANDED
29	2026090603.jsonl	0	1144345	2462	LANDED
29	2026090604.jsonl	0	1005211	2161	LANDED
29	2026090605.jsonl	0	1026537	2209	LANDED
29	2026090606.jsonl	0	2065794	4443	LANDED
29	2026090607.jsonl	0	5094599	10959	LANDED
29	2026090608.jsonl	0	8996315	19357	LANDED
29	2026090609.jsonl	0	12092686	26016	LANDED
29	2026090610.jsonl	0	15080217	32444	LANDED
29	2026090611.jsonl	0	17291695	37197	LANDED
29	2026090612.jsonl	0	18502991	39803	LANDED
29	2026090613.jsonl	0	16147426	34735	LANDED
29	2026090614.jsonl	0	15692460	33759	LANDED
29	2026090615.jsonl	0	14275535	30706	LANDED
29	2026090616.jsonl	0	13227116	28457	LANDED
29	2026090617.jsonl	0	16168955	34788	LANDED
29	2026090620.jsonl	0	1846	4	LANDED
29	2026090621.jsonl	0	9053	17	LANDED
29	2026090700.jsonl	0	348746	997	LANDED
29	2026090701.jsonl	0	359896	1008	LANDED
29	2026090703.jsonl	0	918	3	LANDED
29	golden-r615-20260910164859.jsonl	0	18139	51	LANDED
29	golden-r615b-20260910165249.jsonl	0	18430	51	LANDED
29	golden-r618-tampered-20260910.jsonl	0	18430	51	LANDED
29	golden-r619-clean-20260910.jsonl	0	18430	51	LANDED
29	golden-r70-clean-20260910.jsonl	0	18430	51	LANDED
29	golden-r73-clean-20260910.jsonl	0	18430	51	LANDED
29	r9-prunefix-105922.jsonl	0	18430	51	LANDED
29	r9-prunefix-110637.jsonl	0	18430	51	LANDED
29	r9-qualityfail-103736.jsonl	0	18430	51	LANDED
30	r9-m1-123006.jsonl	0	18430	51	LANDED
31	gen-s3b-1000-20260911.jsonl	0	363848	1000	LANDED
34	2026091115.jsonl	0	19365	40	LANDED
36	b08-gate-20260911-1555.jsonl	0	586	2	LANDED
39	b11-fixture-20260911162916.jsonl	0	586	2	LANDED
