SCAN_ROOT_COUNT	3
SCAN_FILE_COUNT	349
SCAN_TOTAL_BYTES	1215989873
CONTRACT_PATTERN	^\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}(\.\d{1,9})?([+-]\d{2}:\d{2}|Z)$

=== PER-FILE ===
file	bytes	lines	extracted	shapes
generator-output\e4c1000-v1-20260912-154851-6e28\events-0001.jsonl	353053	1001	1000	CONTRACT_OK_OFFSET=1000
generator-output\m1-4-d10-failpath-v1-v1-20260912-110139-8803\events-0001.jsonl	355850	841	840	CONTRACT_OK_OFFSET=840
generator-output\m1-4-d10-failpath-v1-v1-20260912-110139-8803\operation-journal.jsonl	220086	862	0	
landing\accepted\11\2026090701.jsonl	363	2	1	CONTRACT_OK_OFFSET=1
landing\accepted\13\2026090701.jsonl	655	3	2	CONTRACT_OK_OFFSET=2
landing\accepted\14\2026090701.jsonl	296	2	1	CONTRACT_OK_OFFSET=1
landing\accepted\15\2026090701.jsonl	293	2	1	CONTRACT_OK_OFFSET=1
landing\accepted\16\2026090703.jsonl	915	4	3	CONTRACT_OK_OFFSET=3
landing\accepted\17\golden-r615-20260910164859.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\18\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\18\golden-r615b-20260910165249.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\19\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\19\golden-r618-tampered-20260910.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\2\2026090509.jsonl	12063914	26028	26027	CONTRACT_OK_OFFSET=26027
landing\accepted\2\2026090510.jsonl	15235306	32848	32847	CONTRACT_OK_OFFSET=32847
landing\accepted\2\2026090511.jsonl	16964170	36577	36576	CONTRACT_OK_OFFSET=36576
landing\accepted\2\2026090512.jsonl	18195668	39228	39227	CONTRACT_OK_OFFSET=39227
landing\accepted\2\2026090513.jsonl	16092906	34699	34698	CONTRACT_OK_OFFSET=34698
landing\accepted\2\2026090514.jsonl	15225918	32827	32826	CONTRACT_OK_OFFSET=32826
landing\accepted\2\2026090515.jsonl	14185614	30582	30581	CONTRACT_OK_OFFSET=30581
landing\accepted\2\2026090516.jsonl	13155688	28367	28366	CONTRACT_OK_OFFSET=28366
landing\accepted\2\2026090517.jsonl	16725415	36059	36058	CONTRACT_OK_OFFSET=36058
landing\accepted\2\2026090518.jsonl	20300824	43764	43763	CONTRACT_OK_OFFSET=43763
landing\accepted\2\2026090519.jsonl	19321993	41655	41654	CONTRACT_OK_OFFSET=41654
landing\accepted\2\2026090520.jsonl	20060642	43250	43249	CONTRACT_OK_OFFSET=43249
landing\accepted\2\2026090521.jsonl	18086070	38989	38988	CONTRACT_OK_OFFSET=38988
landing\accepted\2\2026090522.jsonl	14178627	30571	30570	CONTRACT_OK_OFFSET=30570
landing\accepted\2\2026090523.jsonl	8045487	17348	17347	CONTRACT_OK_OFFSET=17347
landing\accepted\2\2026090600.jsonl	2940335	6339	6338	CONTRACT_OK_OFFSET=6338
landing\accepted\2\2026090601.jsonl	2068115	4460	4459	CONTRACT_OK_OFFSET=4459
landing\accepted\2\2026090602.jsonl	1664634	3591	3590	CONTRACT_OK_OFFSET=3590
landing\accepted\2\2026090603.jsonl	1141883	2463	2462	CONTRACT_OK_OFFSET=2462
landing\accepted\2\2026090604.jsonl	1003050	2162	2161	CONTRACT_OK_OFFSET=2161
landing\accepted\2\2026090605.jsonl	1024328	2210	2209	CONTRACT_OK_OFFSET=2209
landing\accepted\2\2026090606.jsonl	2061351	4444	4443	CONTRACT_OK_OFFSET=4443
landing\accepted\2\2026090607.jsonl	5083640	10960	10959	CONTRACT_OK_OFFSET=10959
landing\accepted\2\2026090608.jsonl	8976958	19358	19357	CONTRACT_OK_OFFSET=19357
landing\accepted\2\2026090609.jsonl	12066670	26017	26016	CONTRACT_OK_OFFSET=26016
landing\accepted\2\2026090610.jsonl	15047773	32445	32444	CONTRACT_OK_OFFSET=32444
landing\accepted\2\2026090611.jsonl	17254498	37198	37197	CONTRACT_OK_OFFSET=37197
landing\accepted\2\2026090612.jsonl	18463188	39804	39803	CONTRACT_OK_OFFSET=39803
landing\accepted\2\2026090613.jsonl	16112691	34736	34735	CONTRACT_OK_OFFSET=34735
landing\accepted\2\2026090614.jsonl	15658701	33760	33759	CONTRACT_OK_OFFSET=33759
landing\accepted\2\2026090615.jsonl	14244829	30707	30706	CONTRACT_OK_OFFSET=30706
landing\accepted\2\2026090616.jsonl	13198659	28458	28457	CONTRACT_OK_OFFSET=28457
landing\accepted\2\2026090617.jsonl	16134167	34789	34788	CONTRACT_OK_OFFSET=34788
landing\accepted\2\2026090620.jsonl	1842	5	4	CONTRACT_OK_OFFSET=4
landing\accepted\2\2026090621.jsonl	7025	17	16	CONTRACT_OK_OFFSET=16
landing\accepted\20\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\20\golden-r619-clean-20260910.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\21\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\21\golden-r70-clean-20260910.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\22\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\22\golden-r73-clean-20260910.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\23\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\23\golden-r73b-clean-20260910.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\24\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\24\golden-r73c-clean-20260910.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\25\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\25\golden-r73d-clean-20260910.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\26\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\26\r9-qualityfail-103736.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\27\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\27\r9-prunefix-105922.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\28\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\28\r9-prunefix-110637.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\29\2026090509.jsonl	12063914	26028	26027	CONTRACT_OK_OFFSET=26027
landing\accepted\29\2026090510.jsonl	15235306	32848	32847	CONTRACT_OK_OFFSET=32847
landing\accepted\29\2026090511.jsonl	16964170	36577	36576	CONTRACT_OK_OFFSET=36576
landing\accepted\29\2026090512.jsonl	18195668	39228	39227	CONTRACT_OK_OFFSET=39227
landing\accepted\29\2026090513.jsonl	16092906	34699	34698	CONTRACT_OK_OFFSET=34698
landing\accepted\29\2026090514.jsonl	15225918	32827	32826	CONTRACT_OK_OFFSET=32826
landing\accepted\29\2026090515.jsonl	14185614	30582	30581	CONTRACT_OK_OFFSET=30581
landing\accepted\29\2026090516.jsonl	13155688	28367	28366	CONTRACT_OK_OFFSET=28366
