V01	UUID	mock-mall	user	89a6db2c-9ecb-4be0-a24b-9f697da00686	89A6DB2C-9ECB-4BE0-A24B-9F697DA00686	mock-mall|user|89A6DB2C-9ECB-4BE0-A24B-9F697DA00686	21f71a4b7c67bfaed5ebf0ac94844e807116179f037d00a293b77007c6a05d9a	21f71a4b7c67bfae	真实 landing 取值
V02	雪花 19 位	mock-mall	user	2098607948334395394	2098607948334395394	mock-mall|user|2098607948334395394	49c62368e41015b548f8dd08266bd3129b468a8dbb86a9839fb2928888e7de40	49c62368e41015b5	真实 landing 取值
V03	纯数字	mock-mall	user	123	123	mock-mall|user|123	2e01499376d22ec1c1c5054bc4ae83d7ba1b15564e8649383ec7408bce304c5f	2e01499376d22ec1	IdCodecSpec 已固化
V04	前缀数字	mock-mall	user	U000065	U000065	mock-mall|user|U000065	d30271ac8944a9b324fc87dc24111d4b613bff32be7599320f75273efe4f20fe	d30271ac8944a9b3	IdCodec 契约文档书写形
V05	纯数字(目录商品)	mock-mall	product	1001	1001	mock-mall|product|1001	59fb5eddea80aee68cd1e9d0590abb3ffa5a3dad834f9258fc6e215c1bdb1ee4	59fb5eddea80aee6	真实 landing + 黄金集
V06	前缀数字(订单)	mock-mall	order	O00000001	O00000001	mock-mall|order|O00000001	9733fba9ffefe6269d7a27ffe752219cf5f99b102196e3c63652769693dfa85d	9733fba9ffefe626	契约文档书写形
V07	前缀小写	mock-mall	user	u000065	U000065	mock-mall|user|U000065	d30271ac8944a9b324fc87dc24111d4b613bff32be7599320f75273efe4f20fe	d30271ac8944a9b3	与 V04 必须同值
V08	首尾空格	mock-mall	user	  U000065  	U000065	mock-mall|user|U000065	d30271ac8944a9b324fc87dc24111d4b613bff32be7599320f75273efe4f20fe	d30271ac8944a9b3	与 V04 必须同值
V09	非 ASCII	mock-mall	user	用户一	用户一	mock-mall|user|用户一	0fc11177a278e09dbc101a72293e926278d9b285dd6afb3a49677ee547952356	0fc11177a278e09d	UTF-8 编码路径
V10	超长 256	mock-mall	user	AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA	AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA	mock-mall|user|AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA	1745107ddb75a7abdbd42930dd443ed453d9adfe09cb874b69118f8d07a02525	1745107ddb75a7ab	长度上限
