# exact COUNT(*) per base table; schema-qualified; generated read-only
table	exact_count
analytics_meta.ai_call_log	0
analytics_meta.ai_query_history	54
analytics_meta.data_quality_result	401
analytics_meta.decision_evaluation	4
analytics_meta.decision_task	8
analytics_meta.file_checkpoint	105
analytics_meta.flyway_schema_history	16
analytics_meta.ingestion_batch	40
analytics_meta.ingestion_batch_file	112
analytics_meta.metric_definition	16
analytics_meta.metric_snapshot	9
analytics_meta.metric_value	132
analytics_meta.operation_audit_log	92
analytics_meta.pipeline_run	40
analytics_meta.pipeline_stage_run	252
analytics_meta.quarantine_record	104
analytics_meta.runtime_profile	1
analytics_meta.source_registry	1
analytics_meta.spark_job_run	216
analytics_meta.sys_user	3
analytics_meta.t_ckpt_test	0
analytics_meta.user_session	168
analytics_metric.ads_active_trend_m	8
analytics_metric.ads_behavior_funnel_m	32
analytics_metric.ads_data_quality_m	32
analytics_metric.ads_hot_product_m	42
analytics_metric.ads_operation_overview_m	8
analytics_metric.ads_product_conversion_m	42
analytics_metric.ads_sale_trend_m	8
analytics_metric.ads_user_profile_m	20
analytics_metric.flyway_schema_history	3
analytics_metric.metric_snapshot	9
analytics_metric.metric_value	80
