row_id	family	expected_outcome	expected_reason_class	note
b1a-msg-0001	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=user_registered
b1a-msg-0002	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=product_created
b1a-msg-0003	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=behavior
b1a-msg-0004	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=order_created
b1a-msg-0005	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=order_paid
b1a-msg-0006	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=stock_reserved
b1a-msg-0007	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=user_registered
b1a-msg-0008	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=product_created
b1a-msg-0009	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=behavior
b1a-msg-0010	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=order_created
b1a-msg-0011	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=order_paid
b1a-msg-0012	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=stock_reserved
b1a-msg-0013	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=user_registered
b1a-msg-0014	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=product_created
b1a-msg-0015	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=behavior
b1a-msg-0016	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=order_created
b1a-msg-0017	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=order_paid
b1a-msg-0018	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=stock_reserved
b1a-msg-0019	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=user_registered
b1a-msg-0020	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=product_created
b1a-msg-0021	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=behavior
b1a-msg-0022	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=order_created
b1a-msg-0023	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=order_paid
b1a-msg-0024	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=stock_reserved
b1a-msg-0025	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=user_registered
b1a-msg-0026	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=product_created
b1a-msg-0027	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=behavior
b1a-msg-0028	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=order_created
b1a-msg-0029	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=order_paid
b1a-msg-0030	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	合同必需信息齐全：id/类型/时间/来源/版本/追踪齐全，事件语义=stock_reserved
b1b-evt-0001	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=behavior
b1b-evt-0002	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=behavior
b1b-evt-0003	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=behavior
b1b-evt-0004	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=behavior
b1b-evt-0005	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=behavior
b1b-evt-0006	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=behavior
b1b-evt-0007	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=behavior
b1b-evt-0008	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=behavior
b1b-evt-0009	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=behavior
b1b-evt-0010	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=behavior
b1b-evt-0011	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=behavior
