mysql: [Warning] Using a password on the command line interface can be insecure.
db	tbls	approx_rows	mb
mall_simulator	30	834550	650.94
analytics_meta	22	1928	7.14
sakila	23	46416	6.45
analytics_meta_p103	22	1637	6.05
analytics_meta_p105it	22	1638	6.03
analytics_meta_p105	22	1646	6.03
analytics_meta_v17probe	22	1657	6.03
generator_meta	6	2460	1.11
mall_simulator_test	30	170	0.86
world	3	5258	0.77
shop_db	13	127	0.48
analytics_metric_p105	11	243	0.38
analytics_metric_p103	11	243	0.38
analytics_metric	11	361	0.38
crm	17	250	0.36
analytics_verify_m3_parity	10	35	0.34
mybatis_library	4	38	0.25
school2	5	53	0.16
teachingdb	4	45	0.09
emp	2	100	0.09
library	3	0	0.09
school	3	17	0.08
company	3	10	0.08
scott	4	23	0.08
blog_system	2	5	0.06
school1	2	16	0.06
test_db	2	15	0.05
itcast	2	0	0.03
teaching_db	1	0	0.02
mybatis	1	2	0.02
regexp_test	1	5	0.02
spark	1	3	0.02
springboot_demo	1	7	0.02
mybatis_db	1	0	0.02
mydb	1	3	0.02
test-0628	1	8	0.02
mysql: [Warning] Using a password on the command line interface can be insecure.
total_mb
698.09
