# V25-W02 SNAPSHOT-4 backup manifest (sha256) — generated 2026-09-14 12:40:29 +0800
# Covers the secondary worktrees that snapshots 1-3 missed. ADDITIVE.
# method: git --git-dir=<admin> --work-tree=<real> status (read-only; no git writes)
# columns: label<TAB>git-status<TAB>rel-path<TAB>sha256<TAB>bytes<TAB>verdict
m3-jdk8fix	 M	.gitignore	fa8fc5501b4b49db1faa18d9fcaebbdaac652fc2204b3d3adf15d94af11d801b	2522	BACKED_UP:VERIFIED
m3-jdk8fix	 M	README.md	64016e1b49b9994c2fd53f58f14177e053b5e97d27d5f963b3a095fa05cc29de	14535	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/pom.xml	14ae4e4025c59f570ec2343725a572140698d451bcdb89aa266100a93e78f08e	2987	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/ExplanationService.java	a7677085940229bb06a068ceaab4b22591b0e0cd9472114c4f6e817e20976174	18586	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/QuestionSafetyScreen.java	fb871c62f872afc7c97dea407bc542c6232edf9f732416e0673ffe56f57bb979	3781	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/RuleBasedSqlFallback.java	98f80586407c5f52b15ee6a3ea975511a43b52a8b85e86e7a355c9a39c7b7935	4486	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/SemanticCatalog.java	11e4979382834fe4f2df657c6acad1e32ffab751af01ddb7518338dd487cf754	18416	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/TextToSqlService.java	84a43379eaae265576c80bf80e58611f2c7c1cf3ef8b68ee9ab6d0da8061e9d2	16691	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/entity/AiCallLog.java	a012635684bca4d7627f74b1707db857ad57c1824cb4b6756a47fff19678694c	829	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/entity/AiQueryHistory.java	8f1daad56a4783dba254682e277418c44e3531621a5ed24f3c4849dc0cef6f4d	2055	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/evidence/AnomalyRules.java	8f05675347a60d72d441a724c67f8962ae475cb8b7d58ab216289f8da2eb622c	7310	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/evidence/EvidenceBuilder.java	50c287286b5ea276444a23d6e5704d62a9217bb5bbc3c2fa59fa141d9c546d61	22285	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/evidence/EvidencePackage.java	91b437c47fb71968a783293d588c6304f4a3a21dbb9b1b7536eb1e4606fb55b2	8940	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/evidence/EvidenceRequest.java	c15d25ef73bccc45585b7dc4031a2fdf169af3712edfc6bb676e3c820e8803d8	903	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/evidence/EvidenceService.java	2bda4b1aa31359402412f59eba8793d346217e309cd1d903621f01492b3d5fdf	1655	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/evidence/EvidenceTemplates.java	d83d5ebb69e3860f3b4b256b7cc63d2cec1c67ae47640d14fa19f0fd916ed266	13036	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/evidence/MetricLineage.java	f7ab09c0faeef1b21e04d501228f50125a7ddef972e329e198ff18f8ae018d04	5040	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/llm/JsonExtractor.java	6c297d14634d54cc3b3642d06e45cbc1f51a1c04b8cf80a9cf15b9ef55e6ae22	1768	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/llm/LlmProvider.java	baa7263df5e2bbe7f8f7f0c331fb03f0d443b3984ce8001be89bee62dc64aee5	1003	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/llm/MockLlmProvider.java	e692f28af3734e7765c77b53d3af225cbc7ffafc8e0bb1517389c9f4fc4737a5	1993	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/llm/OpenAiCompatLlmProvider.java	464b124d64fe1ed7a0d6bc9cd301b7e09a43aecfce35c51352f0a78f43fed6da	4453	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/mapper/AiCallLogMapper.java	13dcc6446d848a377b6a5e45544511eb8447c98ef5cfdefee14d3996faaf93a2	227	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/mapper/AiQueryHistoryMapper.java	b186aec9f6da926ad109f5d7ae361b4188c570f8ceca40f1ae6f447f99d32290	242	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/sql/AiScope.java	12013b7b634b2639fc948a6e19de9fe5ee4f1c19ba5854ab58d9a6b2cf78afd2	3515	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/sql/AiScopeResolver.java	922ed2677583be1ca54522921dc9e30571b3eb1edbbda85777c4745e6a46d66f	6181	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/sql/AiSqlException.java	e0a9f2c49640cfbacf759df4752642db115ae9d4f236d9aac4f223637cdeefb9	948	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/sql/QueryCostGuard.java	76e099d68ac2394f06c755868ee4850ae6fea603f3385a9488286e1eb96bec56	6663	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/sql/SqlExecutor.java	78f63c35941559a573bf9b7c1a7583e82fb7b5bbe538341131b12b8b25c473ea	8071	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/sql/SqlPolicy.java	26313bf382276a7a812c59bf42f0c6e5c364614cbf378ec233f870574497fd1e	5943	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/ai/sql/SqlSafetyValidator.java	ca3962ead5679303393733d505e5aad18412285da8cf9b78af78d02117ab6270	31664	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/decision/AuditActor.java	8a744946e4d04b05afacc2651980bacec4b2c8afaa9308e9c6fb0021336fb9c0	1229	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/decision/DecisionService.java	6d0cf92b0037912ab8ce2e7b92e3c67448cad650ed07b2e07158a8bf40fba782	35852	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/decision/DecisionStateMachine.java	464a979879e9f1becb158e7486725ba5267e0fdff1df1b2ffc6b0d3cf7655232	3147	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/decision/OperationAuditService.java	a77e2ebc4c29b1a40c026fe819ec54a0e0bfbb385107a6f7e95ba2c9299b3dc3	5615	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/decision/entity/DecisionEvaluation.java	897c8aa953374a325786d210fbc8d13c8f3c75fb670d0dcb06a9f88358334257	2634	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/decision/entity/DecisionTask.java	eff257c2a9276f8d7b412a7c54e242f41c5295fb375409f26cd6c447b56fff93	2374	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/decision/entity/OperationAuditLog.java	647357b59cb1a1fe802cbca222893d2a43af10527fb1bb0f193c12b0e7393e7d	1573	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/decision/mapper/DecisionEvaluationMapper.java	53af8cc16e76011a8bab0061fe5d37375f4616442af7bff319d9bbba8fd8b9a3	266	BACKED_UP:VERIFIED
m3-jdk8fix	 M	analytics-server/ai-decision/src/main/java/com/graduation/analytics/decision/mapper/DecisionTaskMapper.java	fb15ba838cae1ddd7e185de082a5168b835b1c7704d71992a85b4cb8b0fd4074	248	BACKED_UP:VERIFIED
