# contract-specs 裸锚点台账（D-065 裁决 3）—— 只减不增；每次删减/重建须在看板登记
# 重建时间：2026-09-12 13:10:18    重建命令：pwsh -File scripts/check-bare-anchors.ps1 -WriteLedger
# 口径：锚点=`§<节号> L<行号>`；裸锚点=同一行前 100 字符内既无文件名(*.md|json|yaml|yml|java|scala|sql|txt|csv)也无版本号(V<x>.<y>)
# 本次实测：裸锚点出现次数 = 201 ，去重 (文件|锚点文本) = 113 行
# 与 D-065 事实 1 的 258 的关系：258 = 审计脚本 audit-anchors.ps1 口径（只排除 V2.1/V2.3 前缀、只扫 5 个文件）的出现次数；
#   本台账按"规则口径"登记，两者的差全部是**已带版本前缀或文件名**的锚点（按规则本就合规，不计为负债）。两个数字都必须引用。
# 行数基线（只减不增）= 113
# 字段：文件|锚点文本|出现次数
contract-specs\openapi\generator-api.v1.yaml|§1 L25|2
contract-specs\openapi\generator-api.v1.yaml|§1 L26|1
contract-specs\openapi\generator-api.v1.yaml|§3.1 L62|2
contract-specs\openapi\generator-api.v1.yaml|§3.3 L82|1
contract-specs\openapi\generator-api.v1.yaml|§4.2 L132|3
contract-specs\openapi\generator-api.v1.yaml|§4.2 L133|11
contract-specs\openapi\generator-api.v1.yaml|§4.2 L134|13
contract-specs\openapi\generator-api.v1.yaml|§4.2 L135|1
contract-specs\openapi\generator-api.v1.yaml|§4.2 L136|3
contract-specs\openapi\generator-api.v1.yaml|§4.2 L138|5
contract-specs\openapi\generator-api.v1.yaml|§4.3 L148|1
contract-specs\openapi\generator-api.v1.yaml|§4.3 L149|1
contract-specs\openapi\generator-api.v1.yaml|§4.4 L153|6
contract-specs\openapi\generator-api.v1.yaml|§4.4 L154|3
contract-specs\openapi\generator-api.v1.yaml|§4.4 L155|1
contract-specs\openapi\generator-api.v1.yaml|§4.4 L156|2
contract-specs\openapi\generator-api.v1.yaml|§4.4 L157|3
contract-specs\openapi\generator-api.v1.yaml|§4.4 L158|6
contract-specs\README.md|§1 L11|1
contract-specs\README.md|§1 L16|2
contract-specs\README.md|§1 L17|1
contract-specs\README.md|§1 L25|1
contract-specs\README.md|§1 L26|3
contract-specs\README.md|§1 L27|2
contract-specs\README.md|§1 L28|4
contract-specs\README.md|§2.10 L146|1
contract-specs\README.md|§2.2 L57|1
contract-specs\README.md|§2.3 L69|1
contract-specs\README.md|§2.4 L77|1
contract-specs\README.md|§2.4 L78|1
contract-specs\README.md|§2.9 L138|1
contract-specs\README.md|§3 L152|1
contract-specs\README.md|§3.1 L60|1
contract-specs\README.md|§3.1 L64|2
contract-specs\README.md|§3.4 L96|1
contract-specs\README.md|§4 L166|1
contract-specs\README.md|§4 L168|1
contract-specs\README.md|§4.1 L107|1
contract-specs\README.md|§4.1 L108|2
contract-specs\README.md|§4.1 L118|1
contract-specs\README.md|§4.1 L126|2
contract-specs\README.md|§4.2 L132|1
contract-specs\README.md|§4.2 L134|1
contract-specs\README.md|§4.2 L135|2
contract-specs\README.md|§4.2 L138|1
contract-specs\README.md|§4.3 L149|2
contract-specs\README.md|§4.4 L153|1
contract-specs\README.md|§4.4 L158|1
contract-specs\schemas\canonical-event.v1.schema.json|§1 L28|2
contract-specs\schemas\canonical-event.v1.schema.json|§2 L32|1
contract-specs\schemas\canonical-event.v1.schema.json|§2.1 L43|1
contract-specs\schemas\canonical-event.v1.schema.json|§2.1 L44|1
contract-specs\schemas\canonical-event.v1.schema.json|§2.1 L45|1
contract-specs\schemas\canonical-event.v1.schema.json|§2.1 L46|1
contract-specs\schemas\canonical-event.v1.schema.json|§2.1 L47|1
contract-specs\schemas\canonical-event.v1.schema.json|§2.10 L145|1
contract-specs\schemas\canonical-event.v1.schema.json|§2.10 L146|2
contract-specs\schemas\canonical-event.v1.schema.json|§2.10 L147|1
contract-specs\schemas\canonical-event.v1.schema.json|§2.10 L148|1
contract-specs\schemas\canonical-event.v1.schema.json|§2.2 L53|2
contract-specs\schemas\canonical-event.v1.schema.json|§2.2 L54|2
contract-specs\schemas\canonical-event.v1.schema.json|§2.2 L55|2
contract-specs\schemas\canonical-event.v1.schema.json|§2.2 L56|2
contract-specs\schemas\canonical-event.v1.schema.json|§2.2 L57|2
